,date,time,headline,positive,negative,neutral
0,2021-09-22,07:07AM,Here's Why Smart Investors Are Buying Netflix Stock,0.07017398,0.022057077,0.907769
1,2021-09-22,06:06AM,Netflix announces deal to buy Roald Dahl Story Company,0.13500683,0.013274675,0.8517185
2,2021-09-22,05:38AM,"Matilda, Willy Wonka join Netflix catalog as it buys Roald Dahl's works",0.10261778,0.016035244,0.881347
3,2021-09-22,12:20AM,Philippines lower house approves VAT for big tech firms,0.14993887,0.15041897,0.6996422
4,2021-09-21,09:47PM,"Hedge Funds Are Buying Netflix, Inc. (NFLX)",0.09923459,0.016290836,0.8844746
5,2021-09-21,05:13PM,Netflix plans new versions of Roald Dahl stories with takeover deal,0.058648642,0.012685693,0.92866564
6,2021-09-21,03:14PM,Netflix in talks to buy children's classics author Roald Dahl's works- Bloomberg News,0.10374473,0.013376748,0.8828785
7,2021-09-21,01:04PM,Why Goldman Sachs just launched this ETF that will rival FAANG stocks,0.10461924,0.010256774,0.885124
8,2021-09-21,11:30AM,Here's Why Investors Can Consider Netflix in the Next Market Crash,0.07877065,0.011716897,0.90951246
9,2021-09-21,10:52AM,Goldman Sachs new ETF targets non-megacap tech stocks around the world,0.06326741,0.011509049,0.9252236
10,2021-09-21,10:27AM,Netflix (NFLX) Wins Big at Emmy Awards 2021 With The Crown,0.88965106,0.016080106,0.09426886
11,2021-09-21,07:02AM,Why ViacomCBS Deserves Apathetic Investors' Attention,0.03827517,0.31319645,0.64852834
12,2021-09-20,08:09PM,Disney Plus Increases Awards Tally at This Year's Emmys,0.1662034,0.037505984,0.79629064
13,2021-09-20,06:44PM,"Netflix Launches a Totally Free Streaming Plan, Available Only in Kenya for Now",0.29891112,0.009871634,0.6912173
14,2021-09-20,04:51PM,"Emmy Award ratings surprise to the upside, boosted by big wins from 'The Crown,' 'Ted Lasso'",0.93106294,0.036947157,0.03198989
15,2021-09-20,04:05PM,Exclusive-Netflix offers free plan in Kenya to entice new subscribers,0.5217335,0.009028563,0.46923792
16,2021-09-20,01:55PM,"Emmy Award ratings surprise to the upside, boosted by big wins from 'The Crown,' 'Ted Lasso'",0.93106294,0.036947157,0.03198989
17,2021-09-20,01:29PM,UPDATE 1-Audience for Emmy Awards show rises to 7.4 million,0.92082286,0.029265795,0.04991129
18,2021-09-20,01:21PM,"The Crown, Ted Lasso Lead Emmys in Streamings Big Night",0.12582336,0.02161123,0.85256547
19,2021-09-20,10:26AM,"Sears closes final store, Netflix wins big at Emmy Awards",0.3975378,0.0443467,0.5581154
20,2021-09-20,09:00AM,"Roku Launches New 4K Streaming Stick, Will Add Voice Controls for Netflix and Spotify",0.44071287,0.012277146,0.54701006
21,2021-09-20,05:09AM,September is starting to stink for the stock market,0.29070067,0.19545722,0.51384205
22,2021-09-20,05:06AM,"Premarket Movers Monday - Pfizer, Netflix, Li Auto, AstraZeneca",0.10193121,0.011494918,0.8865739
23,2021-09-20,03:42AM,Disney Slips as Netflix Holds Sway at Emmy Awards,0.054122847,0.87156796,0.07430921
24,2021-09-20,12:54AM,"Apple joins streaming elite, Netflix crosses milestone with Emmy wins",0.37700155,0.014941854,0.6080566
25,2021-09-20,12:46AM,"Apple joins streaming elite, Netflix crosses milestone with Emmy wins",0.37700155,0.014941854,0.6080566
26,2021-09-19,11:12PM,Apples Ted Lasso Emmy Wins Give Boost to Streaming Strategy,0.9026784,0.01361694,0.083704814
27,2021-09-19,06:30AM,3 Stocks That Could Be Worth $1 Trillion in 10 Years,0.07311041,0.013847207,0.91304237
28,2021-09-18,03:49PM,Netflix's Day of Reckoning Is Nearing,0.109808244,0.0368944,0.8532974
29,2021-09-18,11:47AM,These 2 Unstoppable Stocks Have Plenty of Room to Run,0.6093007,0.01198119,0.3787182
30,2021-09-18,10:05AM,Mark Your Calendar: Netflix Earnings,0.030570177,0.031479787,0.9379501
